example_id,condition,layer,gold_answer,gold_first_token,gold_token_id,gold_logit,gold_rank,is_top1,top1_token,top1_logit
geo_002,cell_B,0,Asia,Asia,13622,-1.1719,98173,0,cor,15.1641
geo_002,cell_B,1,Asia,Asia,13622,-2.1797,110615,0,createElement,15.1016
geo_002,cell_B,2,Asia,Asia,13622,-2.3125,112402,0,createElement,15.6875
geo_002,cell_B,3,Asia,Asia,13622,-1.2949,98822,0,VIRTUAL,14.8047
geo_002,cell_B,4,Asia,Asia,13622,-1.8057,106406,0,toContain,14.9375
geo_002,cell_B,5,Asia,Asia,13622,-1.7178,104722,0,_ASSUME,16.375
geo_002,cell_B,6,Asia,Asia,13622,-0.772,89659,0,shouldReceive,14.4297
geo_002,cell_B,7,Asia,Asia,13622,0.4353,69908,0,派人,15.8047
geo_002,cell_B,8,Asia,Asia,13622,1.2764,55802,0,纽,15.4844
geo_002,cell_B,9,Asia,Asia,13622,1.0684,59242,0,纽,15.3203
geo_002,cell_B,10,Asia,Asia,13622,2.9609,27330,0,'',15.3906
geo_002,cell_B,11,Asia,Asia,13622,3.6855,19503,0,'',15.0625
geo_002,cell_B,12,Asia,Asia,13622,4.4336,10242,0,Response,14.4219
geo_002,cell_B,13,Asia,Asia,13622,6.8594,2013,0,tr,13.3438
geo_002,cell_B,14,Asia,Asia,13622,6.0195,3263,0,New,12.7422
geo_002,cell_B,15,Asia,Asia,13622,7.0703,1366,0,New,13.4766
geo_002,cell_B,16,Asia,Asia,13622,7.3633,888,0,yes,12.6094
geo_002,cell_B,17,Asia,Asia,13622,7.2227,922,0,yes,13.9375
geo_002,cell_B,18,Asia,Asia,13622,8.0781,537,0,yes,15.6797
geo_002,cell_B,19,Asia,Asia,13622,7.9336,849,0,yes,16.8125
geo_002,cell_B,20,Asia,Asia,13622,5.8984,2302,0,yes,12.9609
geo_002,cell_B,21,Asia,Asia,13622,6.4375,1544,0,getOption,13.0859
geo_002,cell_B,22,Asia,Asia,13622,7.1133,491,0,...,12.8672
geo_002,cell_B,23,Asia,Asia,13622,8.8984,141,0,...,15.0859
geo_002,cell_B,24,Asia,Asia,13622,8.8359,147,0,...,12.6797
geo_002,cell_B,25,Asia,Asia,13622,8.5859,277,0,none,13.9062
geo_002,cell_B,26,Asia,Asia,13622,11.2812,34,0,none,14.5156
geo_002,cell_B,27,Asia,Asia,13622,15.0078,6,0,中国大陆,17.7344
geo_002,cell_B,28,Asia,Asia,13622,13.8281,3,0,Earth,16.6875
geo_002,cell_B,29,Asia,Asia,13622,14.0703,5,0,中国大陆,16.0
geo_002,cell_B,30,Asia,Asia,13622,20.5625,0,1,Asia,20.5625
geo_002,cell_B,31,Asia,Asia,13622,21.7656,0,1,Asia,21.7656
geo_002,cell_B,32,Asia,Asia,13622,22.0781,1,0,Japan,23.0469
geo_002,cell_B,33,Asia,Asia,13622,23.7656,2,0,Tokyo,26.9844
geo_002,cell_B,34,Asia,Asia,13622,20.7344,1,0,the,21.0156
geo_002,cell_B,35,Asia,Asia,13622,17.3438,4,0,the,18.4531
geo_002,cell_D,0,Asia,Asia,13622,0.1724,74386,0,VIRTUAL,14.75
geo_002,cell_D,1,Asia,Asia,13622,-0.4407,83509,0,birka,17.125
geo_002,cell_D,2,Asia,Asia,13622,-0.3542,82503,0,VIRTUAL,16.5625
geo_002,cell_D,3,Asia,Asia,13622,0.0726,75571,0,VIRTUAL,17.2812
geo_002,cell_D,4,Asia,Asia,13622,0.5122,68199,0,VIRTUAL,16.4688
geo_002,cell_D,5,Asia,Asia,13622,-0.79,90457,0,*******************************************************************************/,15.1719
geo_002,cell_D,6,Asia,Asia,13622,0.9004,61950,0,curt,15.9141
geo_002,cell_D,7,Asia,Asia,13622,1.2041,56453,0,✔,15.2031
geo_002,cell_D,8,Asia,Asia,13622,2.2754,39852,0,✔,16.2812
geo_002,cell_D,9,Asia,Asia,13622,3.125,25148,0,✔,15.5859
geo_002,cell_D,10,Asia,Asia,13622,2.6406,29272,0,Answer,16.2969
geo_002,cell_D,11,Asia,Asia,13622,-0.6924,90260,0,Answer,18.0625
geo_002,cell_D,12,Asia,Asia,13622,1.2959,52283,0,Answer,13.9766
geo_002,cell_D,13,Asia,Asia,13622,1.25,52469,0,yes,13.9219
geo_002,cell_D,14,Asia,Asia,13622,1.7637,40982,0,yes,15.1094
geo_002,cell_D,15,Asia,Asia,13622,2.0176,34215,0,",",13.1641
geo_002,cell_D,16,Asia,Asia,13622,1.5527,42896,0,yes,14.2969
geo_002,cell_D,17,Asia,Asia,13622,0.6655,62863,0,yes,13.2344
geo_002,cell_D,18,Asia,Asia,13622,1.8262,36488,0,yes,15.5703
geo_002,cell_D,19,Asia,Asia,13622,2.0254,35372,0,\/\/,14.6797
geo_002,cell_D,20,Asia,Asia,13622,0.8418,58824,0,yes,14.6641
geo_002,cell_D,21,Asia,Asia,13622,-0.0339,77525,0,Explanation,12.8984
geo_002,cell_D,22,Asia,Asia,13622,0.1333,73520,0,yes,12.6484
geo_002,cell_D,23,Asia,Asia,13622,0.3774,67948,0,.bunifuFlatButton,11.9531
geo_002,cell_D,24,Asia,Asia,13622,2.0977,33421,0,________________________________,12.3516
geo_002,cell_D,25,Asia,Asia,13622,1.5938,41951,0,yes,12.5781
geo_002,cell_D,26,Asia,Asia,13622,3.4434,14165,0,<|endoftext|>,14.8672
geo_002,cell_D,27,Asia,Asia,13622,10.4219,48,0,Earth,13.9453
geo_002,cell_D,28,Asia,Asia,13622,10.7422,17,0,Earth,15.3672
geo_002,cell_D,29,Asia,Asia,13622,14.6875,2,0,Americas,15.5156
geo_002,cell_D,30,Asia,Asia,13622,23.7656,0,1,Asia,23.7656
geo_002,cell_D,31,Asia,Asia,13622,26.7031,0,1,Asia,26.7031
geo_002,cell_D,32,Asia,Asia,13622,28.9844,0,1,Asia,28.9844
geo_002,cell_D,33,Asia,Asia,13622,30.0938,0,1,Asia,30.0938
geo_002,cell_D,34,Asia,Asia,13622,27.5781,0,1,Asia,27.5781
geo_002,cell_D,35,Asia,Asia,13622,23.4375,0,1,Asia,23.4375
geo_003,cell_B,0,the Australian dollar,the,279,7.9023,1426,0,cor,15.2891
geo_003,cell_B,1,the Australian dollar,the,279,3.7324,24343,0,createElement,15.2422
geo_003,cell_B,2,the Australian dollar,the,279,4.543,14231,0,createElement,15.8984
geo_003,cell_B,3,the Australian dollar,the,279,5.4258,8086,0,VIRTUAL,14.6953
geo_003,cell_B,4,the Australian dollar,the,279,6.5156,4254,0,<>,15.3594
geo_003,cell_B,5,the Australian dollar,the,279,5.3867,8406,0,_ASSUME,16.1562
geo_003,cell_B,6,the Australian dollar,the,279,4.4961,13713,0,toContain,14.6562
geo_003,cell_B,7,the Australian dollar,the,279,6.8555,3248,0,'',16.5781
geo_003,cell_B,8,the Australian dollar,the,279,7.9492,1560,0,派人,14.3828
geo_003,cell_B,9,the Australian dollar,the,279,6.1016,5542,0,Provided,14.7188
geo_003,cell_B,10,the Australian dollar,the,279,5.957,5685,0,'',14.5469
geo_003,cell_B,11,the Australian dollar,the,279,6.1172,5491,0,getCell,16.1094
geo_003,cell_B,12,the Australian dollar,the,279,7.0352,1832,0,Response,15.4453
geo_003,cell_B,13,the Australian dollar,the,279,7.5938,1192,0,Default,13.8828
geo_003,cell_B,14,the Australian dollar,the,279,5.8945,3590,0,Hide,12.9453
geo_003,cell_B,15,the Australian dollar,the,279,7.793,644,0,New,12.9844
geo_003,cell_B,16,the Australian dollar,the,279,8.9375,178,0,yes,12.9766
geo_003,cell_B,17,the Australian dollar,the,279,7.9961,363,0,yes,13.4297
